,Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.),Name,GLong deg.,GLat deg.,Radius arcmin.,Reliability,Dist2LHAASO
0, 1LHAASO J1814-1636u , KM2A ,273.72,-16.62,0.3,0.68,0.08,132.2,11.9,1.3,3.74,0.2,50.4,   2HWC J1814-173        (0.72),G014.223-00.174,14.223,-0.174,13.2,III,0.5015489550432549
1,1LHAASO J1834-0831 , WCDA ,278.62,-8.53,0.22,0.4,0.07,96,5.99,1.09,3.08,0.13, ,   HESS J1834-087        (0.24),G023.293-00.563,23.293,-0.563,10.2,II,0.43317041899561876
0,1LHAASO J1906+0712 , WCDA ,286.56,7.2,0.21,0.21,0.05,57.8,1.01,0.25,2.72,0.15, , ,G040.866+00.155,40.866,0.155,10.6,II,0.21403460190718157
0, 1LHAASO J1914+1150u , KM2A* ,288.73,11.84,0.09,0.21,0.04,259.2,0.79,0.06,3.41,0.13,26,   2HWC J1914+117*       (0.13) ,G046.304+00.352,46.304,0.352,11.2,III,0.20199684670877963
0, 1LHAASO J1914+1150u  , WCDA* ,288.81,11.74,0.14,0.33,0.04,151.3,1.09,0.12,2.34,0.07, ,  ,G046.304+00.352,46.304,0.352,11.2,III,0.31258927020499294
0, 1LHAASO J1914+1150u  , WCDA* ,288.81,11.74,0.14,0.33,0.04,151.3,1.09,0.12,2.34,0.07, ,  ,G046.420-00.169,46.42,-0.169,9.3,I,0.4637847342601414
