254.8944762127608, 9.269001811442858e-12, 0, md
261.1927577010179, 1.0788648231414416e-11, 0, up
261.1927577010179, 7.570435770161458e-12, 0, low
556.6510580272901, 8.811603465430217e-12, 1, md
556.6510580272901, 1.000000000000004e-11, 1, up
556.6510580272901, 7.570435770161458e-12, 1, low
1186.3284538600892, 7.1968567300115285e-12, 2, md
1186.3284538600892, 8.167476848278884e-12, 2, up
1186.3284538600892, 6.341584770237437e-12, 2, low
2590.762259037291, 2.550312541443152e-12, 3, md
2590.762259037291, 3.0445035410462136e-12, 3, up
2590.762259037291, 2.0309176209047474e-12, 3, low
5521.4032934292845, 1.3547779883625935e-12, 4, md
5521.4032934292845, 1.7895640746367563e-12, 4, up
5521.4032934292845, 9.75014308321881e-13, 4, low
