,Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.),Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,Dist2LHAASO
0,1LHAASO J1928+1746u , WCDA ,292.14,17.78,0.07,0.17,0.02,196,0.79,0.05,2.22,0.05, ,   2HWC J1928+177        (0.01),Berkeley_47,21.9,631.2,1.16e-08,2.2900000000000003e+34,9180.3,2.69,6.86,292.127,17.362,0.087,52,-1.894,-5.444,0.402,NN,7.34,4.02,11.93,2437.0,1482.0,1934.0,-1.0,7125.0,Cl Berkeley 47,292.127,17.362,0.4181837764727002
0,1LHAASO J1945+2424* , WCDA ,296.36,24.4,0.37,1.29,0.11,262.4,4.27,0.51,2.56,0.08, ,   2HWC J1949+244        (0.97),Dolidze_53,6.9,194.5,7.05e-09,1.5e+34,2757.3,2.31,4.29,296.588,24.613,0.132,30,-1.494,-4.609,0.478,NN,6.84,2.96,11.74,2228.0,1083.0,1947.0,-4.0,7513.0,Cl Dolidze 53,296.588,24.613,0.29734476308362484
0,1LHAASO J1945+2424* , WCDA ,296.36,24.4,0.37,1.29,0.11,262.4,4.27,0.51,2.56,0.08, ,   2HWC J1949+244        (0.97),Roslund_2,11.5,730.1,5.21e-08,1.1999999999999999e+35,10112.5,2.11,9.91,296.261,23.977,0.48,97,-1.741,-5.115,0.463,NN,7.06,2.74,11.6,2091.0,1039.0,1815.0,-6.0,7522.0,Cl Roslund 2,296.261,23.977,0.43253594169354315
0, 1LHAASO J1951+2608 , KM2A* ,297.94,26.15,0.42,1,0.11,100,1.13,0.12,3.43,0.17,  ,  3HWC J1951+266(0.47),Czernik_41,12.9,2035.1,1.12e-07,2.51e+35,28432.7,2.92,7.93,297.754,25.29,0.24899998,181,-2.932,-6.164,0.369,NN,7.11,4.11,12.03,2543.0,1193.0,2246.0,-30.0,7491.0,Cl Czernik 41,297.754,25.29,0.8761727103947563
0, 1LHAASO J2004+3252,  WCDA, 303.0376, 34.6997, 0.6, 6.07257, 0.47090, 103.71, 1.45430, 0.09354, 2.64693, 0.06931, ,  ext>2 WCDA2,NGC_6871,5.5,2822.3,1.25e-06,3.53e+36,37026.6,1.63,10.75,301.548,35.765,1.1129999,430,-3.129,-6.437,0.514,NN,6.74,1.19,11.18,1720.0,512.0,1641.0,60.0,7997.0,NGC 6871,301.548,35.765,1.617146266187395
0,1LHAASO J2020+4034 , WCDA ,305.03,40.57,0.08,0.38,0.03,458,2.36,0.16,2.91,0.06, ,   VER J2019+407         (0.19),Collinder_419,19.5,143.4,2.71e-09,5.36e+33,2083.3,1.4,9.94,304.534,40.732,0.174,48,-2.708,-6.382,0.952,NN,7.29,1.17,10.01,1003.0,206.0,981.0,48.0,8192.0,Cl Collinder 419,304.534,40.732,0.40970088965123697
0,1LHAASO J2020+3638 , WCDA ,305.14,36.63,0.34,1.27,0.11,88.4,3.59,0.43,2.62,0.09, ,   VER J2019+368         (0.28),Berkeley_87,8.3,1279.1,1.36e-05,2.28e+37,17298.2,2.62,10.86,305.396,37.433,0.279,112,-3.654,-6.264,0.573,NN,6.92,3.68,11.08,1644.0,404.0,1594.0,10.0,8093.0,Cl Berkeley 87,305.396,37.433,0.8285946768518829
0,1LHAASO J2020+3638 , WCDA ,305.14,36.63,0.34,1.27,0.11,88.4,3.59,0.43,2.62,0.09, ,   VER J2019+368         (0.28),Dolidze_3,8.9,131.2,1.34e-05,2.31e+37,1918.9,1.68,3.94,303.803,36.832,0.282,16,-2.875,-5.613,0.496,NN,6.95,2.1,11.6,2086.0,555.0,2010.0,39.0,8039.0,Cl Dolidze 3,303.803,36.832,1.090398222931592
0, 1LHAASO J2028+4052 , WCDA, 307.5489, 41.5790, 0.18, 2.43805, 0.12086, 521.64, 1.51514, 0.13625, 2.60373, 0.04413, , ext>2 WCDA3,Dolidze_8,15.5,77.9,3.82e-10,6.33e+32,1192.1,1.43,4.47,306.129,42.3,0.24899998,39,-2.633,-5.91,0.993,NN,7.19,2.22,10.11,1053.0,181.0,1036.0,49.0,8224.0,Cl Dolidze 8,306.129,42.3,1.278793656394147
0, 1LHAASO J2028+4052 , WCDA, 307.5489, 41.5790, 0.18, 2.43805, 0.12086, 521.64, 1.51514, 0.13625, 2.60373, 0.04413, , ext>2 WCDA3,NGC_6910,13.5,1193.8,5.97e-08,1.32e+35,16736.5,2.4,10.93,305.797,40.771,0.26700002,127,-3.415,-5.359,0.545,NN,7.13,2.83,11.19,1729.0,339.0,1695.0,60.0,8178.0,NGC 6910,305.797,40.771,1.5464727632612725
0, 1LHAASO ext2WCDA4, WCDA, 323.5994, 57.0637, 0.9, 4.37394, 0.70871, 64.05, 1.23954, 0.34224, 2.67879, 0.16870, ,,IC_1396,12.0,614.2,3.95e-08,8.970000000000001e+34,8537.3,1.1,7.1,324.745,57.514,0.891,403,-2.355,-4.495,1.066,NN,7.08,1.59,9.79,905.0,-146.0,891.0,59.0,8532.0,IC 1396,324.745,57.514,0.7655129028965759
0, 1LHAASO ext2WCDA4, WCDA, 323.5994, 57.0637, 0.9, 4.37394, 0.70871, 64.05, 1.23954, 0.34224, 2.67879, 0.16870, ,,UPK_169,13.8,255.1,1.21e-08,2.66e+34,3582.2,1.53,7.93,326.718,59.915,1.095,52,-2.004,-2.4,1.155,NN,7.14,1.47,9.78,904.0,-181.0,882.0,75.0,8566.0,UPK 169,326.718,59.915,3.2834824213209153
0, 1LHAASO J2238+5900 , KM2A ,339.54,59,0.09,0.43,0.03,353.4,2.03,0.12,3.55,0.09, ,  ,Berkeley_97,15.1,534.0,2.09e-08,4.48e+34,7552.1,1.7,7.22,339.853,59.005,0.105000004,76,-2.736,-1.808,0.314,NN,7.18,2.58,12.55,3241.0,-928.0,3105.0,21.0,9774.0,Cl Berkeley 97,339.853,59.005,0.1612709870709237
0, 1LHAASO J2238+5900  , WCDA* ,339.4,58.92,0.18,0.51,0.04,110.2,1.91,0.26,2.39,0.07, ,  ,Berkeley_97,15.1,534.0,2.09e-08,4.48e+34,7552.1,1.7,7.22,339.853,59.005,0.105000004,76,-2.736,-1.808,0.314,NN,7.18,2.58,12.55,3241.0,-928.0,3105.0,21.0,9774.0,Cl Berkeley 97,339.853,59.005,0.24855049386150144
