,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD
3745,3746,1.15625,94.91977,1.200183,3.23696,187.562,1.20391,0.635452,0.542273,0.571706,8.58182,0,0.660097,0.660097,6.58677,6.58677,1696.34,1696.34,322.1235,52.664958,0.07197491726732451
2910,2911,0.453125,92.54101,-0.219017,32.6792,118.567,2.02959,0.58383,0.319113,0.390294,8.54871,0,0.609267,0.609267,4.15034,4.15034,913.547,913.547,320.963485,49.991556,0.10422867291499818
6461,6462,0.390625,103.4879,-0.614269,20.1807,28.5088,-1.75601,0.442626,0.218082,0.276117,8.70522,0,0.749055,0.749055,3.60983,3.60983,332.016,332.016,335.719736,56.542272,0.10556329825864148
4936,4937,0.140625,99.19945,1.605523,6.54911,37.4629,-0.518616,0.229511,0.171574,0.189047,8.65237,0,0.753306,0.753306,2.48554,2.48554,441.262,441.262,327.139582,55.810325,0.10611441794546471
4891,4892,0.203125,93.82475,-4.755184,-8.75101,66.8763,1.64022,0.573983,0.441513,0.481869,8.5645,0,0.627667,0.627667,5.27893,5.27893,546.869,546.869,327.022217,47.486312,0.10795633527057978
3771,3772,0.671875,92.11762,-0.330842,11.8467,143.203,2.2044,0.511316,0.393547,0.429432,8.54173,0,0.585797,0.585797,4.39063,4.39063,1020.0,1020.0,320.617921,49.614704,0.1177934163446131
4872,4873,1.60938,104.6404,1.1067,-18.8443,130.684,-2.2328,0.904567,0.563123,0.659502,8.7261,0,0.769017,0.769017,8.85215,8.85215,1604.16,1604.16,335.810201,58.612904,0.12655033560037848
6511,6512,0.125,104.2527,3.239916,-26.2303,20.7304,-2.24612,0.579965,0.333557,0.401095,8.72637,0,0.785875,0.785875,5.50155,5.50155,265.746,265.746,332.852331,60.173161,0.143365259215893
4829,4830,0.40625,110.7839,3.879416,-6.24292,46.1164,-1.73811,0.765204,0.233694,0.347022,8.70726,0,0.54369,0.54369,3.293,3.293,282.951,282.951,344.225159,64.015891,0.14819633608041174
4948,4949,0.1875,93.40006,-4.363381,9.8943,78.4382,1.25355,0.420786,0.353738,0.374807,8.58005,0,0.771452,0.771452,5.04662,5.04662,968.941,968.941,326.169294,47.512602,0.169537252917985
3740,3741,1.6875,94.61055,0.050557,3.33428,259.414,0.715159,0.682036,0.571278,0.606039,8.60168,0,0.801921,0.801921,8.48254,8.48254,3462.65,3462.65,323.038647,51.615271,0.1735293810858375
4913,4914,0.75,94.30632,-0.734175,8.64639,94.398,2.09153,0.523816,0.415221,0.448655,8.54608,0,0.453917,0.453917,3.55447,3.55447,403.708,403.708,323.530314,50.831978,0.20741639117377053
2909,2910,1.39062,93.20481,-0.131198,11.0858,395.423,1.03442,0.703659,0.530586,0.582941,8.58878,0,0.844987,0.844987,8.59739,8.59739,5860.21,5860.21,321.611974,50.51732,0.22115566053666966
3707,3708,3.4375,100.7876,1.106035,19.4181,522.129,-1.79258,1.25709,0.868692,0.982576,8.706,0,0.874099,0.874099,14.9916,14.9916,8280.4,8280.4,329.926368,56.406949,0.22416213256785122
3700,3701,0.78125,98.84168,0.504812,-7.6689,142.459,-1.24708,0.465521,0.405165,0.42436,8.68271,0,0.894974,0.894974,6.62872,6.62872,2368.44,2368.44,327.87722,54.731917,0.24711501278570036
4961,4962,1.0625,91.84894,-1.317689,16.2176,121.188,2.66992,0.618702,0.462906,0.509905,8.52317,0,0.411211,0.411211,3.65968,3.65968,425.345,425.345,321.381133,48.721929,0.2541671680068753
4934,4935,0.46875,95.60181,1.384212,46.7089,58.386,-0.0553416,0.689067,0.272338,0.371101,8.63315,0,0.893821,0.893821,5.78931,5.78931,968.192,968.192,322.737345,53.266729,0.25476657352338444
6487,6488,0.078125,108.2206,-3.258624,0.962314,5.62573,-4.38676,0.245964,0.178488,0.198623,8.82325,0,0.902266,0.902266,3.12784,3.12784,95.0604,95.0604,345.544757,56.460052,0.2760160906098481
4887,4888,0.859375,110.609,4.259789,-10.1752,74.9306,-0.252146,0.926326,0.430776,0.556018,8.64186,0,0.383064,0.383064,3.7175,3.7175,228.22,228.22,343.487021,64.283359,0.28048658534599896
6522,6523,0.078125,110.0794,-3.236938,39.0131,3.79975,-0.182875,0.216944,0.125,0.150218,8.63882,0,0.383188,0.383188,1.00465,1.00465,11.5806,11.5806,348.656742,57.199159,0.28061591625365684
4754,4755,0.109375,110.8981,3.513965,-50.6643,16.5367,-5.16012,0.277902,0.125,0.163144,8.86188,0,0.903632,0.903632,2.57301,2.57301,280.276,280.276,344.811003,63.733056,0.28658262478454205
2304,2305,1.5625,97.73914,1.607076,26.617,447.138,-1.09688,0.886931,0.547534,0.643039,8.67629,0,0.93856,0.93856,10.534,10.534,8175.57,8175.57,325.182723,54.865604,0.2923307919637901
