,Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,l,b
162,NGC_3105,21.9,909.0,1.67e-08,3.2900000000000004e+34,13220.9,2.94,11.39,150.169,-54.79,0.018,84,-4.161,2.714,0.104,NN,7.34,2.66,14.53,8071.0,1390.0,-7951.0,37.0,10560.0,NGC 3105,150.169,-54.79,279.91870214423255,0.26450500230071455
163,NGC_3293,10.2,2051.5,1.9e-07,4.5e+35,28173.4,1.52,14.35,158.97,-58.231,0.066,330,-7.671,3.344,0.376,NN,7.01,0.9,12.17,2710.0,740.0,-2607.0,3.0,8034.0,NGC 3293,158.9701,-58.231,285.86008694278337,0.07470494457307933
164,NGC_3324,10.7,443.5,3.7e-08,8.65e+34,6112.1,2.76,10.42,159.341,-58.615,0.049,41,-7.112,2.782,0.356,NN,7.03,1.19,11.89,2389.0,667.0,-2294.0,-6.0,8008.0,NGC 3324,159.3411,-58.615,286.2186592356627,-0.16326172332081546
165,NGC_3572,4.8,542.8,1.26e-07,3.3199999999999997e+35,7249.3,1.51,7.38,167.64,-60.294,0.074,75,-6.261,1.893,0.376,NN,6.68,1.53,11.95,2455.0,869.0,-2296.0,7.0,7815.0,NGC 3572,167.6401,-60.294,290.74228271154135,0.16826091315321404
166,NGC_3590,26.3,906.5,1.16e-08,2.1800000000000003e+34,13372.3,1.48,10.7,168.262,-60.79,0.034,167,-6.1,1.013,0.361,NN,7.42,1.3,12.11,2638.0,954.0,-2459.0,-8.0,7784.0,NGC 3590,168.2621,-60.79,291.2117862747514,-0.17691469964695786
167,NGC_3603,1.0,4808.4,7.21e-05,4.6e+37,59700.4,3.09,13.31,168.795,-61.259,0.039,272,-5.543,1.961,0.076,tooRed,,,,,,,,,NGC 3603,168.795,-61.259,291.6239856283267,-0.5185576136734845
168,NGC_366,25.7,1024.4,1.37e-08,2.6e+34,15085.4,1.83,8.43,16.624,62.219,0.038,130,-2.071,-0.425,0.355,NN,7.41,3.1,12.14,2677.0,-1523.0,2201.0,-28.0,10106.0,NGC 366,16.624,62.219,124.6856523472342,-0.601461789156642
169,NGC_3766,22.9,2427.6,4.08e-08,7.940000000000001e+34,35431.2,1.36,14.35,174.061,-61.616,0.116,531,-6.731,0.961,0.459,NN,7.36,0.66,11.64,2123.0,867.0,-1938.0,-1.0,7719.0,NGC 3766,174.0611,-61.616,294.1203074898068,-0.037411447184732764
170,NGC_4103,20.9,1483.2,2.99e-08,5.9600000000000005e+34,21495.8,1.39,12.33,181.628,-61.245,0.115,313,-6.184,0.075,0.473,NN,7.32,0.85,11.57,2060.0,953.0,-1826.0,41.0,7609.0,NGC 4103,181.6281,-61.245,297.5544063448964,1.1568009383790723
171,NGC_4463,28.8,304.5,3.24e-09,5.97e+33,4524.3,1.37,13.22,187.466,-64.8,0.057,67,-5.326,-0.435,0.523,NN,7.46,1.53,11.28,1804.0,919.0,-1551.0,-63.0,7581.0,NGC 4463,187.4661,-64.8,300.6368399714636,-2.024439716424043
172,NGC_457,20.9,2938.2,5.93e-08,1.18e+35,42582.2,1.37,14.66,19.887,58.278,0.125,509,-1.586,-0.661,0.318,NN,7.32,1.42,12.2,2749.0,-1635.0,2199.0,-210.0,10215.0,NGC 457,19.887,58.278,126.63114947428231,-4.391701284726972
173,NGC_4755,12.0,3290.4,2.12e-07,4.81e+35,45732.7,1.41,12.13,193.415,-60.371,0.086,595,-4.647,-1.134,0.462,NN,7.08,1.22,11.5,1992.0,1090.0,-1665.0,86.0,7438.0,NGC 4755,193.415,-60.371,303.2068178694468,2.499564519094877
174,NGC_5606,18.2,307.6,8.21e-09,1.69e+34,4411.5,1.8,6.8,216.946,-59.632,0.034,36,-4.88,-2.897,0.374,NN,7.26,1.69,11.98,2493.0,1757.0,-1767.0,43.0,6815.0,NGC 5606,216.946,-59.632,314.8407412429904,0.9934669284323797
175,NGC_581,27.5,725.0,8.45e-09,1.58e+34,10734.0,2.29,12.97,23.339,60.659,0.062,131,-1.384,-0.497,0.373,NN,7.44,1.09,11.99,2502.0,-1541.0,1969.0,-78.0,10075.0,NGC 581,23.339,60.659,128.047679070965,-1.7957142877581183
176,NGC_6178,16.6,176.3,5.13e-09,1.07e+34,2520.7,1.49,4.65,248.939,-45.635,0.08,34,0.521,-3.342,1.099,NN,7.22,0.52,9.8,913.0,849.0,-336.0,19.0,7498.0,NGC 6178,248.939,-45.635,338.4077189755347,1.2198338031024534
177,NGC_6193,5.1,1733.4,9.16e-07,2.6499999999999998e+36,22626.8,1.31,8.12,250.319,-48.777,0.156,428,1.278,-4.111,0.812,NN,6.71,1.72,10.51,1264.0,1160.0,-500.0,-34.0,7196.0,NGC 6193,250.319,-48.777,336.6941476818322,-1.5755912757579913
178,NGC_6231,13.8,3198.8,3.75e-05,4.15e+37,44922.7,1.64,12.58,253.545,-41.812,0.147,527,-0.529,-2.177,0.589,NN,7.14,1.07,10.84,1475.0,1414.0,-419.0,30.0,6938.0,NGC 6231,253.545,-41.812,343.4760233369337,1.1903513707068512
179,NGC_6249,20.4,336.9,7.12e-09,1.4200000000000002e+34,4874.4,1.34,3.66,254.445,-44.815,0.041,57,1.73,-3.428,0.788,NN,7.31,1.4,10.5,1261.0,1196.0,-399.0,-26.0,7155.0,NGC 6249,254.445,-44.815,341.54533764536336,-1.2011876708737956
180,NGC_6250,24.0,293.6,4.5e-09,8.669999999999999e+33,4301.0,1.21,5.51,254.497,-45.951,0.105,76,0.454,-2.379,0.988,NN,7.38,1.18,10.0,998.0,941.0,-330.0,-33.0,7405.0,NGC 6250,254.497,-45.951,340.6779238900673,-1.9360331742877996
181,NGC_6318,9.8,2205.2,2.28e-07,5.4599999999999994e+35,30181.0,2.67,7.37,259.044,-39.424,0.045,149,-0.74,-2.451,0.41,NN,6.99,3.46,11.73,2213.0,2164.0,-463.0,-26.0,6193.0,NGC 6318,259.044,-39.424,347.90246656525414,-0.6859780264036298
182,NGC_6322,14.8,325.4,1.34e-08,2.88e+34,4593.8,1.5,7.7,259.625,-42.937,0.066,60,0.183,-2.272,0.728,NN,7.17,1.92,10.69,1377.0,1330.0,-349.0,-73.0,7018.0,NGC 6322,259.625,-42.937,345.2848736217648,-3.071091449495914
183,NGC_6357,1.0,1387.8,1.34e-06,4.1799999999999995e+36,17800.2,3.61,11.86,261.185,-34.203,0.052,94,-0.854,-2.083,0.567,tooRed,,,,,,,,,NGC 6357,261.185,-34.203,353.1664382394219,0.889995755651768
184,NGC_6383,4.0,724.0,2.78e-07,7.75e+35,9534.7,1.24,5.51,263.673,-32.573,0.082,245,2.596,-1.708,0.873,NN,6.6,1.3,10.24,1117.0,1114.0,-84.0,1.0,7225.0,NGC 6383,263.673,-32.573,355.6720442981844,0.056867735449460596
185,NGC_6396,15.1,899.1,3.52e-08,7.5400000000000005e+34,12714.7,2.84,6.16,264.399,-35.013,0.029,58,-0.451,-2.05,0.353,NN,7.18,2.93,12.01,2519.0,2504.0,-265.0,-77.0,5841.0,NGC 6396,264.399,-35.013,353.94101909676573,-1.765748555504519
186,NGC_6451,25.7,1633.0,2.18e-08,4.14e+34,24046.7,2.86,9.63,267.675,-30.206,0.078,150,-0.105,-1.335,0.304,NN,7.41,2.2,12.22,2777.0,2776.0,-25.0,-77.0,5563.0,NGC 6451,267.675,-30.206,359.4828251403653,-1.6015618695731964
187,NGC_6531,12.9,670.0,3.7e-08,8.26e+34,9359.9,1.27,5.61,271.036,-22.505,0.118,158,0.525,-1.521,0.798,NN,7.11,0.67,10.33,1165.0,1154.0,155.0,-7.0,7186.0,NGC 6531,271.036,-22.505,7.655997116400679,-0.34752157275116347
188,NGC_654,9.8,2547.7,2.63e-07,6.31e+35,34868.0,1.67,13.97,26.008,61.883,0.053,329,-1.086,-0.265,0.313,NN,6.99,2.29,12.47,3125.0,-1970.0,2425.0,-19.0,10591.0,NGC 654,26.008,61.883,129.08617903085513,-0.35868853747677665
189,NGC_6561,18.6,297.8,7.58e-09,1.5500000000000001e+34,4278.3,1.39,6.22,272.659,-16.74,0.082,54,-0.002,-0.754,0.655,NN,7.27,0.95,10.85,1480.0,1439.0,343.0,29.0,6908.0,NGC 6561,272.659,-16.74,13.436231111437083,1.1227717898720018
190,NGC_659,15.5,1486.7,5.54e-08,1.18e+35,21061.4,2.83,7.58,26.108,60.679,0.064,138,-0.796,-0.257,0.287,NN,7.19,1.86,12.6,3317.0,-2103.0,2563.0,-88.0,10753.0,NGC 659,26.108,60.679,129.37797034688674,-1.5277925149196965
191,NGC_6611,2.1,1697.0,1.98e-06,6.34e+36,21637.2,2.28,8.58,274.688,-13.792,0.063,348,0.178,-1.576,0.566,tooRed,,,,,,,,,NGC 6611,274.688,-13.792,16.96145296794877,0.8105746247297391
192,NGC_6613,18.2,130.7,2.04e-09,3.94e+33,1913.7,1.41,4.24,274.989,-17.089,0.058,25,-0.508,-0.917,0.64,NN,7.26,1.11,10.85,1477.0,1432.0,362.0,-25.0,6917.0,NGC 6613,274.989,-17.089,14.192712658262629,-1.003016708543481
193,NGC_663,29.5,3820.9,3.88e-08,7.12e+34,56872.5,2.63,13.39,26.586,61.212,0.15,468,-1.11,-0.235,0.32,NN,7.47,2.18,12.35,2950.0,-1876.0,2276.0,-49.0,10466.0,NGC 663,26.586,61.212,129.49441200546798,-0.9582131745646534
194,NGC_6823,2.4,1369.6,1.3e-06,4.0599999999999996e+36,17574.7,2.19,7.03,295.794,23.321,0.074,140,-1.697,-5.304,0.446,NN,6.38,2.22,11.84,2330.0,1185.0,2006.0,-5.0,7430.0,NGC 6823,295.794,23.321,59.42304776932149,-0.1387281398666601
195,NGC_6834,19.1,1733.4,4.21e-08,8.56e+34,24945.5,1.84,12.87,298.052,29.399,0.05,211,-2.487,-5.094,0.272,NN,7.28,1.97,12.58,3283.0,1351.0,2992.0,67.0,7602.0,NGC 6834,298.052,29.399,65.69104181735715,1.1826298376320157
196,NGC_6871,5.5,2822.3,1.25e-06,3.53e+36,37026.6,1.63,10.75,301.548,35.765,0.371,430,-3.129,-6.437,0.514,NN,6.74,1.19,11.18,1720.0,512.0,1641.0,60.0,7997.0,NGC 6871,301.548,35.765,72.657650635482,2.012076326651955
197,NGC_6910,13.5,1193.8,5.97e-08,1.32e+35,16736.5,2.4,10.93,305.797,40.771,0.089,127,-3.415,-5.359,0.545,NN,7.13,2.83,11.19,1729.0,339.0,1695.0,60.0,8178.0,NGC 6910,305.797,40.771,78.67523215353462,2.01116408441763
198,NGC_6913,21.9,686.9,1.26e-08,2.49e+34,9990.0,2.15,6.35,305.943,38.487,0.106,71,-3.409,-5.771,0.553,NN,7.34,1.8,11.03,1608.0,365.0,1566.0,17.0,8126.0,NGC 6913,305.943,38.487,76.86763479554175,0.6098193450191615
199,NGC_7039,21.9,215.2,3.96e-09,7.799999999999999e+33,3129.6,1.07,5.12,317.663,45.597,0.144,109,-0.32,-2.542,1.293,NN,7.34,0.28,9.39,753.0,28.0,753.0,-22.0,8345.0,NGC 7039,317.663,45.597,87.84720807433627,-1.699524249309757
200,NGC_7067,6.2,822.1,2.68e-07,7.339999999999999e+35,10876.5,2.94,9.51,321.058,48.012,0.031,61,-3.089,-3.297,0.153,NN,6.79,2.27,13.61,5269.0,-110.0,5265.0,-154.0,9956.0,NGC 7067,321.058,48.012,91.199426058046,-1.6761368791976752
201,NGC_7128,26.3,1236.5,1.58e-08,2.9800000000000003e+34,18240.8,2.38,13.43,325.991,53.715,0.03,172,-4.026,-4.111,0.261,NN,7.42,2.59,13.12,4199.0,-536.0,4164.0,31.0,9805.0,NGC 7128,325.991,53.715,97.3436501385469,0.428074328797268
202,NGC_7129,21.4,95.6,7.59e-10,1.35e+33,1436.9,1.61,2.6,325.74,66.114,0.042,36,-1.759,-3.267,1.086,NN,7.33,1.78,9.72,878.0,-229.0,834.0,150.0,8610.0,NGC 7129,325.74,66.114,105.40302296392707,9.887075722440237
203,NGC_7160,14.5,211.8,9.05e-09,1.96e+34,2986.1,1.51,5.82,328.448,62.589,0.075,45,-3.472,-1.378,1.05,NN,7.16,1.07,9.78,903.0,-217.0,871.0,101.0,8601.0,NGC 7160,328.448,62.589,104.01396645738909,6.436957902642203
204,NGC_7235,9.3,1551.8,1.79e-07,4.3399999999999996e+35,21165.0,2.36,15.22,333.083,57.271,0.07,171,-3.757,-3.026,0.259,NN,6.97,2.37,12.98,3951.0,-868.0,3854.0,54.0,9982.0,NGC 7235,333.083,57.271,102.69225280817206,0.7893614280812505
205,NGC_7261,11.2,706.7,5.31e-08,1.23e+35,9772.1,2.5,9.54,335.056,58.128,0.051,76,-3.932,-2.909,0.278,NN,7.05,2.81,12.7,3462.0,-840.0,3358.0,55.0,9775.0,NGC 7261,335.056,58.128,104.04535065918552,0.9128412194728347
206,NGC_7380,4.2,810.7,3.74e-07,1.07e+36,10622.2,2.2,8.85,341.817,58.125,0.09,93,-2.517,-2.144,0.333,NN,6.62,1.59,12.86,3739.0,-1101.0,3573.0,-57.0,10094.0,NGC 7380,341.817,58.125,107.12817678485844,-0.8849309900824565
207,NGC_7510,19.5,2567.7,5.96e-08,1.1999999999999999e+35,37016.4,1.9,12.33,347.767,60.579,0.055,297,-3.664,-2.193,0.286,NN,7.29,2.86,12.34,2931.0,-1046.0,2738.0,3.0,9777.0,NGC 7510,347.767,60.579,110.90810820604153,0.07184639893639265
208,NGC_7788,17.4,941.2,2.76e-08,5.730000000000001e+34,13450.3,1.49,5.75,359.179,61.395,0.045,137,-3.112,-1.762,0.3,NN,7.24,1.42,12.37,2974.0,-1324.0,2663.0,-40.0,10024.0,NGC 7788,359.179,61.395,116.42964268632853,-0.7839878851327481
209,NGC_869,15.1,3678.7,1.44e-07,3.0899999999999997e+35,52022.7,2.31,14.41,34.741,57.134,0.136,503,-0.689,-1.082,0.399,NN,7.18,1.69,11.71,2197.0,-1540.0,1560.0,-143.0,10002.0,NGC 869,34.741,57.134,134.62565817328468,-3.7371915636317787
210,NGC_884,17.8,2293.3,6.42e-08,1.32e+35,32828.8,2.31,7.91,35.584,57.149,0.125,322,-0.628,-1.066,0.398,NN,7.25,1.72,11.64,2130.0,-1504.0,1502.0,-132.0,9958.0,NGC 884,35.584,57.149,135.05183480775838,-3.568282133656261
211,Negueruela_1,17.0,421.7,1.3e-08,2.71e+34,6015.2,2.08,14.98,356.849,63.219,0.022,52,-2.988,-1.343,0.289,NN,7.23,3.39,12.3,2879.0,-1252.0,2592.0,62.0,9936.0,NAME Cl Negueruela 1,356.849,63.219,115.79128242236256,1.2385701010662602
212,Patchick_94,3.5,3692.3,4.75e-06,1.5399999999999999e+37,46930.1,4.84,5.19,247.397,-47.31,0.016,25,-2.993,-3.697,0.208,tooRed,,,,,,,,,Patchick 94,247.397,-47.31,336.4579115384807,0.8557111279721266
213,Pismis_1,29.5,540.1,5.49e-09,1.01e+34,8039.5,1.91,5.38,124.58,-37.102,0.025,56,-2.611,3.966,0.145,NN,7.47,1.69,13.77,5666.0,-1455.0,-5475.0,-70.0,11222.0,Cl Pismis 1,124.58,-37.102,255.11587775854886,-0.7090759095964816
214,Pismis_11,3.3,590.5,1.6e-07,4.2899999999999996e+35,7852.2,2.64,8.19,138.974,-50.006,0.014,46,-5.397,3.926,0.335,NN,6.52,3.7,12.24,2807.0,80.0,-2805.0,-34.0,8722.0,Cl Pismis 11,138.974,-50.006,271.65039048277623,-0.698798415927544
215,Pismis_17,25.1,143.3,2e-09,3.82e+33,2106.2,1.57,2.92,165.377,-59.873,0.05,19,-6.938,2.333,0.366,notEnoughStars,,,,,,,,,Cl Pismis 17,165.3771,-59.873,289.5391986406581,0.10913314947143271
216,Pismis_27,5.4,212.4,9.18e-09,1.9900000000000002e+34,2992.5,1.67,5.89,92.719,20.617,0.051,35,-0.14,-1.994,0.504,NN,6.73,1.5,11.38,1883.0,-1854.0,-329.0,26.0,10200.0,Cl Pismis 27,92.719,20.617,190.06702753822805,0.7966008131997228
217,Pismis_5,10.0,276.1,1.88e-08,4.3e+34,3830.4,1.78,6.22,129.407,-39.603,0.124,80,-5.494,4.275,1.026,NN,7.0,1.48,9.87,941.0,-173.0,-925.0,14.0,8564.0,Cl Pismis 5,129.407,-39.603,259.35485817984664,0.9053785946947276
218,Pismis_Moreno_1,8.9,162.2,3.99e-09,8.11e+33,2333.4,1.28,7.52,334.695,63.251,0.075,62,-2.301,-2.251,1.051,NN,6.95,2.06,9.96,981.0,-281.0,936.0,90.0,8671.0,NAME Cl Pismis-Moreno 1,334.695,63.251,106.71310722940484,5.292749402985337
219,Pozzo_1,9.5,342.7,3.45e-08,8.25e+34,4693.5,0.42,5.91,122.374,-47.335,0.625,341,-6.516,9.53,2.853,NN,6.98,0.07,7.6,330.0,-41.0,-325.0,-44.0,8387.0,NAME Pozzo 1,122.374,-47.335,262.7978751258004,-7.690207425511652
220,RSG_8,26.9,204.6,2.5e-09,4.68e+33,3023.1,0.82,5.78,344.983,59.371,1.015,170,5.343,-1.654,2.21,NN,7.43,0.53,8.17,431.0,-141.0,407.0,-3.0,8491.0,RSG 8,344.983,59.371,109.15022939400902,-0.4838513681371724
221,Riddle_4,26.9,392.1,4.78e-09,8.97e+33,5794.1,2.2,12.13,31.862,60.26,0.037,41,-0.757,-0.451,0.339,NN,7.43,3.01,12.44,3073.0,-2065.0,2275.0,-66.0,10651.0,Riddle 4,31.862,60.26,132.22943746710737,-1.23243459550352
222,Roslund_2,11.5,730.1,5.21e-08,1.1999999999999999e+35,10112.5,2.11,9.91,296.261,23.977,0.16,97,-1.741,-5.115,0.463,NN,7.06,2.74,11.6,2091.0,1039.0,1815.0,-6.0,7522.0,Cl Roslund 2,296.261,23.977,60.20499979065622,-0.18207286721112156
223,Roslund_4,17.0,314.9,9.69e-09,2.02e+34,4492.8,2.35,6.82,301.199,29.196,0.061,31,-2.166,-5.057,0.423,NN,7.23,2.33,11.57,2059.0,805.0,1894.0,-45.0,7768.0,Cl Roslund 4,301.199,29.196,66.95434812904469,-1.262187633238633
224,Ruprecht_127,13.5,715.9,3.58e-08,7.9e+34,10037.1,2.42,8.05,264.462,-36.309,0.061,55,-0.297,-2.266,0.385,NN,7.13,3.04,11.81,2298.0,2278.0,-284.0,-100.0,6067.0,Cl Ruprecht 127,264.462,-36.309,352.8726228005961,-2.502199468432776
225,Ruprecht_138,9.5,1086.9,1.19e-07,2.8599999999999997e+35,14849.9,2.6,4.42,269.984,-24.665,0.057,83,0.248,-1.147,0.369,NN,6.98,2.21,12.18,2732.0,2721.0,252.0,-27.0,5624.0,Cl Ruprecht 138,269.984,-24.665,5.301672654815267,-0.5765831028066181
226,Ruprecht_32,5.0,257.0,1.55e-08,3.49e+34,3579.5,2.76,5.03,116.3,-25.539,0.043,13,-2.024,3.081,0.181,notEnoughStars,,,,,,,,,Cl Ruprecht 32,116.3,-25.539,241.57497058909138,-0.5691469917432265
227,Ruprecht_44,14.5,731.1,1.2e-05,9.23e+36,10303.4,2.58,7.25,119.708,-28.558,0.038,57,-2.381,2.935,0.152,NN,7.16,1.64,13.8,5753.0,-2365.0,-5244.0,49.0,11921.0,Cl Ruprecht 44,119.708,-28.558,245.72187282279836,0.492145739854956
228,Ruprecht_47,29.5,334.6,3.4e-09,6.23e+33,4979.7,1.46,3.57,120.57,-31.074,0.042,52,-2.5,2.727,0.234,NN,7.47,0.93,12.85,3720.0,-1378.0,-3455.0,-12.0,10314.0,Cl Ruprecht 47,120.57,-31.074,248.25419204957376,-0.19842803378083546
229,Ruprecht_65,22.9,237.2,3.98e-09,7.759999999999999e+33,3461.8,1.55,5.61,129.838,-44.041,0.09,33,-4.746,4.245,0.412,NN,7.36,1.71,11.91,2405.0,-289.0,-2387.0,-64.0,8953.0,Cl Ruprecht 65,129.838,-44.041,263.07706285752147,-1.533175093754494
230,Ruprecht_71,21.4,229.7,4.43e-09,8.76e+33,3334.6,1.34,3.92,132.316,-46.875,0.059,39,-5.22,4.642,0.486,NN,7.33,0.93,11.33,1844.0,-116.0,-1839.0,-61.0,8654.0,Cl Ruprecht 71,132.316,-46.875,266.3793279241205,-1.926823737283223
231,Ruprecht_77,12.3,192.0,6.73e-09,1.4300000000000001e+34,2725.4,2.28,4.91,141.821,-55.119,0.045,17,-6.286,4.84,0.242,NN,7.09,1.92,13.07,4108.0,463.0,-4076.0,-221.0,8868.0,Cl Ruprecht 77,141.821,-55.119,276.488012149506,-3.0971242190831925
232,Ruprecht_78,17.8,1250.3,3.5e-08,7.22e+34,17898.9,3.11,4.7,142.282,-53.696,0.036,74,-3.892,3.252,0.097,notEnoughStars,,,,,,,,,Cl Ruprecht 78,142.282,-53.696,275.6988557102883,-1.8824974811925586
233,Ruprecht_94,24.5,351.2,5.14e-09,9.85e+33,5152.8,1.7,6.4,172.772,-63.426,0.213,47,-6.378,0.769,0.369,NN,7.39,0.82,11.76,2244.0,915.0,-2047.0,-76.0,7701.0,Cl Ruprecht 94,172.7721,-63.426,294.0885556392181,-1.9422635264153916
234,SAI_113,8.9,560.8,7.22e-08,1.77e+35,7623.0,2.06,6.32,155.685,-59.51,0.031,63,-5.76,2.975,0.179,NN,6.95,2.84,13.6,5241.0,1361.0,-5058.0,-173.0,8618.0,SAI 113,155.685,-59.51,285.06816915359366,-1.8979444851231668
235,SAI_24,6.9,627.1,1.52e-07,4.01e+35,8367.3,1.93,10.29,44.816,60.566,0.111,84,-0.201,0.114,0.446,NN,6.84,1.85,11.76,2248.0,-1670.0,1503.0,58.0,10123.0,SAI 24,44.816,60.566,138.01298141250288,1.4927047401434572
236,SAI_25,1.6,490.5,9.58e-08,2.47e+35,6584.9,3.2,4.79,45.109,57.307,0.115,23,0.608,-1.205,0.372,NN,6.2,4.24,12.12,2651.0,-2021.0,1714.0,-60.0,10502.0,SAI 25,45.109,57.307,139.68791778870823,-1.307119783450895
237,Schuster_1,6.3,84.5,5.15e-10,8.81e+32,1282.4,2.66,5.59,151.159,-55.857,0.024,17,-5.102,3.768,0.139,tooRed,,,,,,,,,NAME SCHUSTER CL,151.159,-55.857,281.0080369682381,-0.2541613764745641
238,Sher_1,13.2,702.4,1.2e-05,9.22e+36,9830.3,3.56,14.92,165.262,-60.233,0.013,35,-5.412,2.408,0.11,NN,7.12,3.35,13.91,6066.0,2038.0,-5713.0,-25.0,8506.0,Cl Sher 1,165.262,-60.233,289.635014231946,-0.24259753250787003
239,Shorlin_1,3.2,211.2,9.08e-09,1.97e+34,2976.8,3.15,3.45,166.443,-61.231,0.014,2,-5.869,2.189,0.083,notEnoughStars,,,,,,,,,NAME Shorlin 1,166.4431,-61.231,290.56652324312495,-0.9220642952626352
240,Sigma_Ori,1.3,113.4,1.34e-09,2.5e+33,1677.5,1.16,4.58,84.716,-2.582,0.175,114,1.577,-0.512,2.48,tooRed,,,,,,,,,NAME sigma Orionis Open Cluster,84.716,-2.582,206.81388191449795,-17.301533532131224
241,Skiff_J2330+60.2,20.4,354.4,7.49e-09,1.5e+34,5127.5,2.72,7.75,352.553,60.257,0.021,26,-3.484,-1.879,0.278,NN,7.31,3.75,12.34,2942.0,-1150.0,2707.0,-53.0,9868.0,[KPS2012] MWSC 3735,352.553,60.257,113.01620090951488,-1.041621820007734
242,Stephenson_1,28.2,89.5,6.11e-10,1.06e+33,1352.5,0.41,5.57,283.568,36.899,0.249,83,1.11,-3.01,2.779,NN,7.45,0.22,7.68,343.0,129.0,304.0,90.0,8215.0,Cl Stephenson 1,283.568,36.899,66.90746382316337,15.365457956533286
243,Stock_16,6.0,340.2,3.4e-08,8.1e+34,4661.1,2.59,6.78,199.86,-62.622,0.056,23,-6.574,-0.991,0.222,tooRed,,,,,,,,,Cl Stock 16,199.8601,-62.622,306.14485776285215,0.0749308613004085
244,Stock_17,10.0,80.1,4.25e-10,7.11e+32,1221.9,1.8,2.59,355.949,62.161,0.016,5,-3.691,-1.525,0.309,notEnoughStars,,,,,,,,,Cl Stock 17,355.949,62.161,115.12481821636307,0.31893317877584865
245,Stock_18,13.2,245.3,1.29e-08,2.8600000000000003e+34,3432.4,2.07,5.43,0.399,64.625,0.057,22,-2.692,-0.587,0.294,NN,7.12,1.94,12.28,2860.0,-1325.0,2532.0,113.0,9991.0,Cl Stock 18,0.399,64.625,117.62234286913737,2.2683057149683683
246,Stock_20,19.1,254.1,6.17e-09,1.25e+34,3656.3,2.27,8.5,6.318,62.624,0.046,38,-3.237,-1.124,0.342,NN,7.28,1.09,12.07,2598.0,-1296.0,2251.0,-4.0,9896.0,Cl Stock 20,6.318,62.624,119.92912356499754,-0.09509009541048656
247,Stock_8,14.5,1778.7,7.67e-08,1.6599999999999999e+35,25066.0,1.59,10.28,81.956,34.452,0.153,275,0.094,-2.249,0.446,NN,7.16,1.17,11.86,2354.0,-2338.0,274.0,-9.0,10682.0,Cl Stock 8,81.956,34.452,173.31575895991108,-0.22282085106661972
248,Teutsch_1,27.5,378.2,4.41e-09,8.22e+33,5599.7,2.29,3.88,84.871,33.347,0.011,29,0.653,-0.767,0.223,NN,7.44,1.95,13.63,5318.0,-5301.0,411.0,112.0,13647.0,Teutsch 1,84.871,33.347,175.55881705368498,1.2066960223254142
249,Teutsch_125,8.7,247.3,1.39e-08,3.1000000000000002e+34,3452.6,2.41,4.35,333.316,58.939,0.065,22,-3.867,-2.78,0.469,NN,6.94,2.72,11.62,2112.0,-501.0,2050.0,77.0,9076.0,Teutsch 125,333.316,58.939,103.74168646944005,2.0919769379260895
250,Teutsch_127,11.5,352.9,2.52e-08,5.78e+34,4887.5,2.42,6.4,334.747,56.121,0.03,30,-3.344,-2.417,0.242,NN,7.06,2.08,12.69,3450.0,-764.0,3364.0,-40.0,9706.0,Teutsch 127,334.747,56.121,102.80625237837624,-0.6748924216434574
251,Teutsch_13,7.9,252.2,1.47e-08,3.2900000000000004e+34,3517.8,2.46,4.46,100.984,1.404,0.055,13,-0.097,0.518,0.155,NN,6.9,1.94,13.59,5220.0,-4481.0,-2674.0,-93.0,13097.0,Teutsch 13,100.984,1.404,210.8269157811828,-1.0282731491683228
252,Teutsch_23,5.6,537.3,1.23e-07,3.2199999999999997e+35,7180.1,3.18,5.13,356.976,62.996,0.048,28,-2.986,-1.387,0.29,NN,6.75,2.69,12.69,3453.0,-1502.0,3109.0,60.0,10321.0,Teutsch 23,356.976,62.996,115.79244842146701,1.0082861154733431
253,Teutsch_30,28.8,217.4,2.31e-09,4.26e+33,3230.6,2.04,9.6,306.929,36.074,0.026,29,-3.18,-5.692,0.539,NN,7.46,3.41,11.23,1760.0,445.0,1703.0,-43.0,8076.0,Teutsch 30,306.929,36.074,75.35286249491712,-1.4257633708822404
254,Teutsch_42,1.3,480.0,9.02e-08,2.31e+35,6451.7,6.39,7.12,292.554,18.535,0.005,13,-3.116,-5.83,0.182,tooRed,,,,,,,,,Teutsch 42,292.554,18.535,53.769309756687086,0.16352773560290285
255,Teutsch_8,4.0,236.6,1.24e-08,2.7400000000000003e+34,3311.6,2.04,4.79,300.598,35.31,0.006,28,-3.496,-6.704,0.492,NN,6.6,2.2,11.49,1982.0,616.0,1881.0,83.0,7949.0,Teutsch 8,300.598,35.31,71.85997698490864,2.4235155716071777
256,Teutsch_85,4.0,760.3,3.17e-07,8.909999999999999e+35,9990.8,3.29,14.3,258.309,-39.718,0.038,41,-1.864,-3.123,0.14,tooRed,,,,,,,,,Teutsch 85,258.309,-39.718,347.3329922630705,-0.3975961469638742
