,Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,l,b
91,FSR_0904,21.9,515.7,9.49e-09,1.8700000000000002e+34,7500.7,1.58,11.17,91.774,19.021,0.087,93,-0.448,-1.107,0.446,NN,7.34,1.86,11.82,2311.0,-2268.0,-442.0,-30.0,10617.0,[FSR2007] 0904,91.774,19.021,191.03247160809565,-0.7543623939908752
92,FSR_1117,15.5,47.7,6.3e-11,7.26e+31,767.4,1.21,3.14,94.159,-8.945,0.09,26,-3.711,0.704,1.049,NN,7.19,1.52,9.8,911.0,-712.0,-537.0,-185.0,9067.0,[FSR2007] 1117,94.159,-8.945,217.046474103916,-11.764507885535302
93,FSR_1297,5.0,147.5,3e-09,5.97e+33,2136.4,1.72,2.84,110.984,-25.879,0.049,25,-2.775,3.314,0.754,tooRed,,,,,,,,,[FSR2007] 1297,110.984,-25.879,239.55307642854495,-4.925472715737517
94,FSR_1335,11.2,151.0,3.2e-09,6.399999999999999e+33,2185.0,2.2,4.99,123.012,-28.986,0.014,15,-2.67,3.172,0.131,NN,7.05,1.03,14.21,6961.0,-2645.0,-6430.0,328.0,12729.0,[FSR2007] 1335,123.012,-28.986,247.63599244174804,2.7078554207850822
95,FSR_1342,25.7,636.8,8.51e-09,1.61e+34,9377.4,2.03,4.51,119.487,-31.511,0.036,66,-2.375,2.693,0.229,NN,7.41,2.42,13.21,4384.0,-1632.0,-4068.0,-93.0,10770.0,[FSR2007] 1342,119.487,-31.511,248.13888315054967,-1.2153414296187433
96,FSR_1352,3.5,145.9,2.92e-09,5.799999999999999e+33,2115.6,1.89,4.85,116.614,-34.287,0.033,16,-1.981,3.148,0.24,NN,6.54,2.57,12.81,3643.0,-1283.0,-3397.0,-298.0,10205.0,[FSR2007] 1352,116.614,-34.287,249.2977965304203,-4.705783598644113
97,FSR_1435,1.0,401.7,5.46e-08,1.35e+35,5451.6,2.38,5.56,134.218,-43.757,0.084,47,-3.9,2.732,0.436,tooRed,,,,,,,,,[FSR2007] 1435,134.218,-43.757,264.84271037109147,1.0978069667865171
98,Graham_1,15.5,261.8,9.75e-09,2.0800000000000003e+34,3708.6,3.55,7.65,164.134,-63.018,0.028,14,-6.324,2.178,0.218,NN,7.19,2.29,12.76,3558.0,1233.0,-3332.0,-185.0,7848.0,NAME Graham 1,164.1341,-63.018,290.3193360733237,-2.9948913641769757
99,Gulliver_10,9.3,79.3,4.12e-10,6.87e+32,1211.8,1.03,2.76,123.09,-38.676,0.183,42,-4.443,4.965,1.652,NN,6.97,0.62,8.94,613.0,-150.0,-593.0,-27.0,8511.0,Cl Gulliver 10,123.09,-38.676,255.77127018557653,-2.5613222099210455
100,Gulliver_2,6.6,229.8,1.14e-08,2.5100000000000003e+34,3222.2,1.15,7.25,122.883,-37.404,0.073,59,-4.951,4.576,0.696,NN,6.82,0.51,10.69,1375.0,-364.0,-1325.0,-48.0,8805.0,Cl Gulliver 2,122.883,-37.404,254.61719420393166,-2.000263752078671
