HII-region GLON GLAT Radius VLSR_ref Ref Peak e_Peak VLSR e_VLSR FWHM e_FWHM RMS S/N
G53.175+0.150 53.175  0.150  120   8.3  8  15.4 0.1   6.0  0.1 28.0  0.3  0.30 50.8
G53.188+0.210 53.188  0.210   53   5.3  1   3.6 0.1   0.0  0.3 29.0  0.8  0.21 17.5
G53.541-0.011 53.541 -0.011  254  23.9  1   5.3 0.2  25.4  0.6 29.6  1.4  0.52 10.1
G53.645+0.015 53.645  0.015   98  31.2 12   2.5 0.1  30.1  0.5 27.4  1.2  0.23 10.9
G53.822-0.057 53.822 -0.057   69  43.8  1   4.1 0.1  48.1  0.2 22.3  0.5  0.16 25.6
G53.933+1.325 53.933  1.325   61  29.7  2   0.5 0.1  33.3  1.2 12.8  2.9  0.15  3.0
G53.935+0.228 53.935  0.228 1243  38.0  8   0.9 0.0  30.7  0.5 30.2  1.1  0.07 12.7
G53.958+0.032 53.958  0.032   72  38.9  1   2.6 0.1  45.3  0.7 32.5  1.7  0.31  8.3
G54.099-0.068 54.099 -0.068  266  42.8 12  19.6 0.1  41.4  0.1 21.3  0.2  0.29 68.2
G54.449+1.012 54.449  1.012   72  30.2  2   3.0 0.1  33.1  0.4 19.4  1.0  0.28 10.8
G54.491+0.930 54.491  0.930  245  31.1  1   1.8 0.1  29.3  0.6 19.5  1.4  0.23  7.8
G54.779+0.862 54.779  0.862  150  41.1  1   1.8 0.1  40.9  0.4 18.2  1.0  0.18 10.2
