50317706.93074638, 7.155262164252914e-12
58959595.22584711, 5.841438702920248e-12
77806052.93587163, 3.893214839204755e-12
102676788.23557729, 2.930625690591659e-12
130233512.31014335, 2.297383407811948e-12
186036632.8152496, 1.8009705365764743e-12
245503315.37027073, 1.4702828147562768e-12
379620716.3796518, 1.1525877747731677e-12
481504535.6345105, 9.799173051966243e-13
774642532.0851488, 7.681792202988642e-13
1197826402.1599529, 6.271289192799834e-13
2645831249.2404156, 4.916204680584783e-13
5617227179.131211, 5.11977766391893e-13
7712395499.741814, 6.271289192799834e-13
10177665742.390057, 7.083049295065865e-13
12909180151.885643, 9.799173051966243e-13
17035604644.314016, 1.1525877747731677e-12
23389711045.033592, 1.5945684679126449e-12
33411853893.468338, 2.2060346765014834e-12
44091966078.850395, 2.930625690591659e-12
62984716898.20723, 3.893214839204755e-12
101329555528.27481, 6.3352260323230715e-12
150598368744.16284, 9.899077255969993e-12
206770020925.26712, 1.3150514100487496e-11
283893125204.2033, 1.8193317316422947e-11
421928639976.176, 2.8427881300331034e-11
579303709889.783, 3.7765262783612603e-11
