Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.)
1LHAASO J1727+5016 , WCDA ,261.89,50.28,0.1,0,0.08,43.6,0.49,0.08,3.09,0.21, ,   1ES 1727+502          (0.14)
1LHAASO J1727+5016  , KM2A , , , , , , ,0,0.03, , , ,
 1LHAASO J1740+0948u , KM2A ,265.03,9.81,0.07,0,0.11,156.2,0.41,0.04,3.13,0.15,37.2,  3HWC J1739+099(0.13) 
 1LHAASO J1740+0948u  , WCDA , , , , , , ,0,0.29, , , ,
 1LHAASO J1809-1918u , KM2A ,272.38,-19.3,0.13,0,0.22,134.6,9.46,1.27,3.51,0.26,88.4,   HESS J1809-193        (0.24) 
 1LHAASO J1809-1918u  , WCDA ,272.66,-19.32,0.2,0.35,0.06,54.8,3.46,0.61,2.24,0.06, , 
 1LHAASO J1813-1245 , KM2A ,273.36,-12.75,0.22,0,0.31,42.2,1.42,0.27,3.66,0.34,  ,   HESS J1813-126        (0.07)
 1LHAASO J1813-1245  , WCDA ,273.35,-12.73,0.21,0,0.32,37.2,2.44,0.44,2.61,0.08, ,
1LHAASO J1814-1719u* , WCDA ,273.69,-17.33,0.27,0.71,0.07,118.8,26.5,2.46,2.83,0.06, ,   2HWC J1814-173        (0.16)
1LHAASO J1814-1719u*  , KM2A ,273.27,-17.89,0.17,0,0.27,59.3,4.2,0.75,3.49,0.31,41, 
 1LHAASO J1814-1636u , KM2A ,273.72,-16.62,0.3,0.68,0.08,132.2,11.9,1.3,3.74,0.2,50.4,   2HWC J1814-173        (0.72)
 1LHAASO J1814-1636u  , WCDA , , , , , , ,0,19.71, , , ,
1LHAASO J1825-1418 , WCDA ,276.29,-14.32,0.19,0.81,0.05,210.2,39.2,2.3,2.98,0.05, ,   HESS J1825-137        (0.56)
1LHAASO J1825-1418  , KM2A ,276.25,-14,0.43,0.81,0.1,68.9,7.26,0.98,3.53,0.18,  , 
 1LHAASO J1825-1256u , KM2A ,276.44,-12.94,0.08,0,0.2,259.2,5.08,0.42,3.33,0.13,121,   HESS J1826-130        (0.14) 
 1LHAASO J1825-1256u  , WCDA ,276.55,-13.04,0.08,0.24,0.03,231,8.27,0.54,2.61,0.03, , 
 1LHAASO J1825-1337u , KM2A ,276.45,-13.63,0.05,0,0.18,453.7,10.1,0.61,3.28,0.09,249.6,   HESS J1825-137        (0.15) 
 1LHAASO J1825-1337u  , WCDA ,276.55,-13.73,0.05,0.17,0.02,289,10.4,0.56,2.55,0.03, , 
1LHAASO J1831-1007u* , WCDA ,277.75,-10.12,0.16,0.78,0.04,376.4,17.8,1.06,2.71,0.04, ,   HESS J1831-098        (0.25)
1LHAASO J1831-1007u*  , KM2A ,277.81,-9.83,0.12,0.26,0.05,125.4,2.56,0.27,3.3,0.14,53.3, 
 1LHAASO J1831-1028 , KM2A ,277.84,-10.48,0.39,0.94,0.09,100,5.39,0.6,3.53,0.15,  ,   HESS J1833-105        (0.55)
 1LHAASO J1831-1028  , WCDA , , , , , , ,0,7.77, , , ,
1LHAASO J1834-0831 , WCDA ,278.62,-8.53,0.22,0.4,0.07,96,5.99,1.09,3.08,0.13, ,   HESS J1834-087        (0.24)
1LHAASO J1834-0831  , KM2A ,278.44,-8.38,0.28,0.4,0.07,68.9,1.55,0.21,3.63,0.21,  , 
1LHAASO J1837-0654u , WCDA* ,279.39,-6.9,0.06,0.34,0.01,1049.8,15.5,0.54,2.92,0.03, ,   HESS J1837-069        (0.05)
1LHAASO J1837-0654u  , KM2A ,279.31,-6.86,0.09,0.33,0.04,331.2,3.06,0.21,3.7,0.12,25, 
 1LHAASO J1839-0548u , KM2A ,279.79,-5.81,0.06,0.22,0.02,364.8,3.03,0.2,3.24,0.09,127.7,   LHAASO J1839-0545     (0.17) 
 1LHAASO J1839-0548u  , WCDA* ,279.85,-5.9,0.07,0.22,0.02,198.8,4.62,0.29,2.65,0.04, ,  
1LHAASO J1841-0519 , WCDA ,280.33,-5.33,0.09,0.6,0.03,519.8,15.2,0.84,2.88,0.04, ,   HESS J1841-055        (0.25)
1LHAASO J1841-0519  , KM2A* ,280.21,-5.23,0.37,0.62,0.12,82.8,2.1,0.25,3.85,0.2,  , 
